번호,지역,상호,주소,기간,상표,셀프여부,고급휘발유,휘발유,경유,실내등유
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190907,SK에너지,셀프,1797,1635,1495,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190908,SK에너지,셀프,1797,1635,1495,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190909,SK에너지,셀프,1797,1635,1495,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190910,SK에너지,셀프,1797,1635,1495,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190911,SK에너지,셀프,1797,1635,1495,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190912,SK에너지,셀프,1797,1635,1495,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190913,SK에너지,셀프,1797,1635,1495,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190914,SK에너지,셀프,1797,1635,1495,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190915,SK에너지,셀프,1797,1635,1495,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190916,SK에너지,셀프,1797,1635,1495,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190917,SK에너지,셀프,1797,1635,1525,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190918,SK에너지,셀프,1797,1635,1525,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190919,SK에너지,셀프,1797,1635,1525,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190920,SK에너지,셀프,1797,1635,1525,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190921,SK에너지,셀프,1797,1635,1525,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190922,SK에너지,셀프,1797,1635,1525,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190923,SK에너지,셀프,1797,1635,1525,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190924,SK에너지,셀프,1807,1655,1535,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190925,SK에너지,셀프,1807,1655,1535,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190926,SK에너지,셀프,1807,1655,1535,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190927,SK에너지,셀프,1807,1655,1535,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190928,SK에너지,셀프,1807,1655,1535,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190929,SK에너지,셀프,1807,1655,1535,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190930,SK에너지,셀프,1807,1655,1535,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20191001,SK에너지,셀프,1807,1655,1535,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20191002,SK에너지,셀프,1807,1655,1535,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20191003,SK에너지,셀프,1807,1655,1535,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20191004,SK에너지,셀프,1807,1655,1535,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20191005,SK에너지,셀프,1807,1655,1535,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20191006,SK에너지,셀프,1807,1655,1535,0
