번호,지역,상호,주소,기간,상표,셀프여부,고급휘발유,휘발유,경유,실내등유
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190615,SK에너지,셀프,1777,1577,1477,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190616,SK에너지,셀프,1777,1577,1477,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190617,SK에너지,셀프,1777,1577,1477,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190618,SK에너지,셀프,1777,1577,1477,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190619,SK에너지,셀프,1777,1577,1477,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190620,SK에너지,셀프,1777,1577,1477,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190621,SK에너지,셀프,1777,1577,1477,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190622,SK에너지,셀프,1777,1577,1477,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190623,SK에너지,셀프,1777,1577,1477,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190624,SK에너지,셀프,1777,1577,1477,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190625,SK에너지,셀프,1777,1577,1477,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190626,SK에너지,셀프,1777,1577,1477,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190627,SK에너지,셀프,1777,1577,1477,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190628,SK에너지,셀프,1777,1577,1477,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190629,SK에너지,셀프,1777,1577,1477,0
A0006039,서울 강남구,(주)동하힐탑셀프주유소,서울 강남구 논현로 640,20190630,SK에너지,셀프,1777,1577,1477,0
A0000525,서울 강남구,(주)만정에너지,서울 강남구 봉은사로 433 (삼성동),20190101,GS칼텍스,일반,2169,1939,1759,1279
A0000525,서울 강남구,(주)만정에너지,서울 강남구 봉은사로 433 (삼성동),20190102,GS칼텍스,일반,2169,1939,1759,1279
A0000525,서울 강남구,(주)만정에너지,서울 강남구 봉은사로 433 (삼성동),20190103,GS칼텍스,일반,2169,1939,1759,1279
A0000525,서울 강남구,(주)만정에너지,서울 강남구 봉은사로 433 (삼성동),20190104,GS칼텍스,일반,2169,1939,1759,1279
A0000525,서울 강남구,(주)만정에너지,서울 강남구 봉은사로 433 (삼성동),20190105,GS칼텍스,일반,2169,1939,1759,1279
A0000525,서울 강남구,(주)만정에너지,서울 강남구 봉은사로 433 (삼성동),20190106,GS칼텍스,일반,2169,1939,1759,1279
A0000525,서울 강남구,(주)만정에너지,서울 강남구 봉은사로 433 (삼성동),20190107,GS칼텍스,일반,2169,1939,1759,1279
A0000525,서울 강남구,(주)만정에너지,서울 강남구 봉은사로 433 (삼성동),20190108,GS칼텍스,일반,2169,1939,1759,1279
A0000525,서울 강남구,(주)만정에너지,서울 강남구 봉은사로 433 (삼성동),20190109,GS칼텍스,일반,2169,1939,1759,1279
A0000525,서울 강남구,(주)만정에너지,서울 강남구 봉은사로 433 (삼성동),20190110,GS칼텍스,일반,2169,1939,1759,1279
A0000525,서울 강남구,(주)만정에너지,서울 강남구 봉은사로 433 (삼성동),20190111,GS칼텍스,일반,2169,1939,1759,1279
A0000525,서울 강남구,(주)만정에너지,서울 강남구 봉은사로 433 (삼성동),20190112,GS칼텍스,일반,2169,1939,1759,1279
A0000525,서울 강남구,(주)만정에너지,서울 강남구 봉은사로 433 (삼성동),20190113,GS칼텍스,일반,2169,1939,1759,1279
A0000525,서울 강남구,(주)만정에너지,서울 강남구 봉은사로 433 (삼성동),20190114,GS칼텍스,일반,2169,1939,1759,1279
A0000525,서울 강남구,(주)만정에너지,서울 강남구 봉은사로 433 (삼성동),20190115,GS칼텍스,일반,2169,1939,1759,1279
A0000525,서울 강남구,(주)만정에너지,서울 강남구 봉은사로 433 (삼성동),20190116,GS칼텍스,일반,2139,1899,1759,1279
A0000525,서울 강남구,(주)만정에너지,서울 강남구 봉은사로 433 (삼성동),20190117,GS칼텍스,일반,2139,1899,1759,1279
A0000525,서울 강남구,(주)만정에너지,서울 강남구 봉은사로 433 (삼성동),20190118,GS칼텍스,일반,2139,1899,1759,1279
A0000525,서울 강남구,(주)만정에너지,서울 강남구 봉은사로 433 (삼성동),20190119,GS칼텍스,일반,2139,1899,1759,1279
A0000525,서울 강남구,(주)만정에너지,서울 강남구 봉은사로 433 (삼성동),20190120,GS칼텍스,일반,2139,1899,1759,1279
A0000525,서울 강남구,(주)만정에너지,서울 강남구 봉은사로 433 (삼성동),20190121,GS칼텍스,일반,2139,1899,1759,1279
A0000525,서울 강남구,(주)만정에너지,서울 강남구 봉은사로 433 (삼성동),20190122,GS칼텍스,일반,2139,1899,1759,1279
A0000525,서울 강남구,(주)만정에너지,서울 강남구 봉은사로 433 (삼성동),20190123,GS칼텍스,일반,2139,1899,1759,1279
A0000525,서울 강남구,(주)만정에너지,서울 강남구 봉은사로 433 (삼성동),20190124,GS칼텍스,일반,2139,1899,1759,1279
A0000525,서울 강남구,(주)만정에너지,서울 강남구 봉은사로 433 (삼성동),20190125,GS칼텍스,일반,2139,1899,1759,1279
A0000525,서울 강남구,(주)만정에너지,서울 강남구 봉은사로 433 (삼성동),20190126,GS칼텍스,일반,2139,1899,1759,1279
A0000525,서울 강남구,(주)만정에너지,서울 강남구 봉은사로 433 (삼성동),20190127,GS칼텍스,일반,2139,1899,1759,1279
